Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2271-24_r_1.3_s_50_BSNTN2271-24,BSNTN2271-24,r_1.3_s_50_merge,2823699,3,18,1569,0.0,3.0,0.1338432122370937,0.0,3,2,0,1,0,0,7.27,1.84,3.0,1.0
BSNTN2221-24_r_1_s_50_BSNTN2221-24,BSNTN2221-24,r_1_s_50_merge,7181111,129,59,1710,0.0,17.0,3.5526315789473686,2.0,129,106,0,16,7,0,75.79,4.69,17.0,1.0
BSNTN2193-24_r_1.3_s_50_BSNTN2193-24,BSNTN2193-24,r_1.3_s_50_merge,444,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2220-24_r_1.5_s_50_BSNTN2220-24,BSNTN2220-24,r_1.5_s_50_merge,8174592,107,1131,1569,0.0,16.0,3.451242829827916,2.0,107,94,0,4,9,0,71.13,4.85,16.0,1.0
BSNTN2187-24_r_1.5_s_50_BSNTN2187-24,BSNTN2187-24,r_1.5_s_50_merge,186,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2194-24_r_1_s_100_BSNTN2194-24,BSNTN2194-24,r_1_s_100_merge,5121511,168,1,1533,1.0,33.0,10.307240704500979,8.0,168,159,0,8,1,0,100.0,10.31,33.0,1.0
BSNTN2199-24_r_1.3_s_100_BSNTN2199-24,BSNTN2199-24,r_1.3_s_100_merge,261,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2224-24_r_1.5_s_100_BSNTN2224-24,BSNTN2224-24,r_1.5_s_100_merge,206,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2186-24_r_1_s_50_BSNTN2186-24,BSNTN2186-24,r_1_s_50_merge,8035260,390,698,1569,0.0,64.0,15.07265774378585,14.0,390,364,2,12,12,0,93.5,16.12,64.0,1.0
BSNTN2238-24_r_1_s_50_BSNTN2238-24,BSNTN2238-24,r_1_s_50_merge,326,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2193-24_r_1.5_s_100_BSNTN2193-24,BSNTN2193-24,r_1.5_s_100_merge,444,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
