Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2951-24_r_1_s_50_BSNTN2951-24,BSNTN2951-24,r_1_s_50_merge,8282165,455,3137,1524,0.0,55.0,24.094488188976378,23.0,455,348,0,84,23,0,99.8,24.14,55.0,3.0
BSNTN3023-24_r_1.5_s_50_BSNTN3023-24,BSNTN3023-24,r_1.5_s_50_merge,12210613,250,7298,1524,0.0,78.0,16.836614173228348,10.0,250,229,0,15,6,0,86.22,19.53,78.0,1.0
BSNTN2995-24_r_1_s_100_BSNTN2995-24,BSNTN2995-24,r_1_s_100_merge,8036237,873,166,1524,0.0,132.0,78.91338582677166,87.0,873,854,0,6,13,0,99.21,79.54,132.0,3.0
BSNTN2974-24_r_1.3_s_50_BSNTN2974-24,BSNTN2974-24,r_1.3_s_50_merge,5736593,150,613,1524,0.0,37.0,8.202755905511811,4.0,150,131,0,16,3,0,74.8,10.97,37.0,1.0
BSNTN2951-24_r_1.5_s_100_BSNTN2951-24,BSNTN2951-24,r_1.5_s_100_merge,8282165,34,184,1524,0.0,10.0,2.3976377952755907,0.0,34,34,0,0,0,0,40.55,5.91,10.0,1.0
BSNTN3007-24_r_1_s_50_BSNTN3007-24,BSNTN3007-24,r_1_s_50_merge,5793457,295,1680,1524,0.0,41.0,16.198818897637796,16.0,295,213,0,75,7,0,99.21,16.33,41.0,1.0
BSNTN2997-24_r_1_s_50_BSNTN2997-24,BSNTN2997-24,r_1_s_50_merge,8242939,1047,4074,1524,0.0,148.0,76.82874015748031,82.0,1047,917,0,106,24,0,99.8,76.98,148.0,2.0
BSNTN3003-24_r_1_s_50_BSNTN3003-24,BSNTN3003-24,r_1_s_50_merge,9345079,4380,4749,1524,1.0,553.0,377.04527559055117,380.0,4380,4079,0,169,132,0,100.0,377.05,553.0,1.0
BSNTN2949-24_r_1.3_s_50_BSNTN2949-24,BSNTN2949-24,r_1.3_s_50_merge,7909245,2596,6006,1524,0.0,431.0,208.5964566929134,196.0,2596,2513,0,52,31,0,98.82,211.09,431.0,1.0
BSNTN2949-24_r_1_s_50_BSNTN2949-24,BSNTN2949-24,r_1_s_50_merge,7909245,3644,4958,1524,4.0,895.0,264.07086614173227,207.0,3644,3269,0,205,170,0,100.0,264.07,895.0,4.0
